Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,DOI,Microsoft Academic ID
073-652-094-513-327,VGI FOR LAND ADMINISTRATION - A QUALITY PERSPECTIVE,2013-05-14,2013,journal article,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",21949034,Copernicus GmbH,,Gerhard Navratil; Andrew U. Frank,"<jats:p>Abstract. Since the use of volunteered geographic information (VGI) or crowd sourced data (Goodchild, 2007) became more common, several people proposed the use of such methods of data collection for various fields. Success stories were Wikipedia encyclopaedia and OpenStreetMap (OSM), but also using VGI in land administration has been proposed. Robin McLaren proposed crowd sourcing as a way to get a new citizen collaboration model in land administration to enhance transparency and decrease costs (McLaren, 2011). Keenja et al. discussed the perception of VGI within the Dutch cadastre (Keenja, De Vries, Bennet, &amp;amp; Laarakker, 2012). Basiouka and Potsiou even discuss how crowd sourcing can be used to identify errors in the Hellenic cadastre (Basiouka &amp;amp; Potsiou, 2012). One problem of VGI is the quality control (compare Goodchild &amp;amp; Li, 2012). The problem with most data in a land administration system is that there is only a small group of people that can verify the correctness of information. The correct location of a boundary, for example, can only be assessed by the owners of the pieces of land touching at the boundary (and surveyors after investigation and measurement). How shall VGI then provide reliable data? Boundaries between areas of different use may be visible but land administration is often interested in ownership boundaries. In the paper we discuss the types of data used in land administration as discussed by Dale and McLaughlin (1999). These categories are then analyzed to identify the areas where VGI can actually provide reliable input. What we hope to learn from such an analysis is how to use the methodology of crowd sourcing for land administration, even if the data collection authoritatively.;                     </jats:p>",XL-2/W1,1,159,163,Data collection; Cadastre; Data type; Encyclopedia; Geography; Data science; Land administration; Operations research; Correctness; Volunteered geographic information; Transparency (graphic),,10.5194/isprsarchives-xl-2-w1-159-2013,2132643790
073-789-807-725-387,Integrating Spatial Data Linkage and Analysis Services in a Geoportal for China Urban Research,2014-04-01,2014,journal article,Transactions in GIS,13611682; 14679671,Wiley,United Kingdom,Xinyan Zhu; Bing She; Wei Guo; Shuming Bao; Di Chen,"Many geoportals are now evolving into online analytical environments, where large amounts of data and various analysis methods are integrated. These spatiotemporal data are often distributed in different databases and exist in heterogeneous forms, even when they refer to the same geospatial entities. Besides, existing open standards lack sufficient expression of the attribute semantics. Client applications or other services thus have to deal with unrelated preprocessing tasks, such as data transformation and attribute annotation, leading to potential inconsistencies. Furthermore, to build informative interfaces that guide users to quickly understand the analysis methods, an analysis service needs to explicitly model the method parameters, which are often interrelated and have rich auxiliary information. This work presents the design of the spatial data linkage and analysis services in a geoportal for China urban research. The spatial data linkage service aggregates multisource heterogeneous data into linked layers with flexible attribute mapping, providing client applications and services with a unified access as if querying a big table. The spatial analysis service incorporates parameter hierarchy and grouping by extending the standard WPS service, and data-dependent validation in computation components. This platform can help researchers efficiently explore and analyze spatiotemporal data online.",19,1,107,128,Geoportal; Semantics; World Wide Web; Spatial analysis; Data science; Annotation; Hierarchy; Preprocessor; Computer science; Open standard; Geospatial analysis,,10.1111/tgis.12084,1558880967
073-839-691-445-270,Corporate Editors in the Evolving Landscape of OpenStreetMap,2019-05-18,2019,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,T. Jennings Anderson; Dipto Sarkar; Leysia Palen,"OpenStreetMap (OSM), the largest Volunteered Geographic Information project in the world, is characterized both by its map as well as the active community of the millions of mappers who produce it. The discourse about participation in the OSM community largely focuses on the motivations for why members contribute map data and the resulting data quality. Recently, large corporations including Apple, Microsoft, and Facebook have been hiring editors to contribute to the OSM database. In this article, we explore the influence these corporate editors are having on the map by first considering the history of corporate involvement in the community and then analyzing historical quarterly-snapshot OSM-QA-Tiles to show where and what these corporate editors are mapping. Cumulatively, millions of corporate edits have a global footprint, but corporations vary in geographic reach, edit types, and quantity. While corporations currently have a major impact on road networks, non-corporate mappers edit more buildings and points-of-interest: representing the majority of all edits, on average. Since corporate editing represents the latest stage in the evolution of corporate involvement, we raise questions about how the OSM community—and researchers—might proceed as corporate editing grows and evolves as a mechanism for expanding the map for multiple uses.",8,5,232,,Business; Data quality; Data science; Open data; Road networks; Volunteered geographic information; Geospatial analysis,,10.3390/ijgi8050232,2946303255
073-945-607-392-727,A Dynamic GIS as an Efficient Tool for Integrated Coastal Zone Management,2014-03-26,2014,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Françoise Gourmelon; Damien Le Guyader; Guy Fontenelle,"This contribution addresses both the role of geographical information in participatory research of coastal zones, and its potential to bridge the gap between research and coastal zone management. Over a one year period, heterogeneous data (spatial, temporal, qualitative and quantitative) were obtained which included the process of interviews, storing in a spatio-temporal database. The GIS (Geographic Information System) produced temporal snapshots of daily human activity patterns allowing it to map, identify and quantify potential space-time conflicts between activities. It was furthermore used to facilitate the exchange of ideas and knowledge at various levels: by mapping, simulation, GIS analysis and data collection. Results indicated that both captured data and the participatory workshop added real value to management and therefore it was deemed well managed by stakeholders. To incorporate a dynamic GIS would enhance pro-active integrated management by opening the path for better discussions whilst permitting management simulated scenarios.",3,2,391,407,Environmental resource management; Data collection; Participatory action research; Citizen journalism; Geography; Integrated management; Integrated coastal zone management; Participatory GIS; Geographic information system; Knowledge management; Enterprise GIS,,10.3390/ijgi3020391,2064415303
074-445-682-837-71X,Calibration of Safecast dose rate measurements.,2018-05-15,2018,journal article,Journal of environmental radioactivity,18791700; 0265931x,Elsevier Limited,Netherlands,Guido Cervone; Carolynne Hultquist,"Abstract A methodology is presented to calibrate contributed Safecast dose rate measurements acquired between 2011 and 2016 in the Fukushima prefecture of Japan. The Safecast data are calibrated using observations acquired by the U.S. Department of Energy at the time of the 2011 Fukushima Daiichi power plant nuclear accident. The methodology performs a series of interpolations between the U.S. government and contributed datasets at specific temporal windows and at corresponding spatial locations. The coefficients found for all the different temporal windows are aggregated and interpolated using quadratic regressions to generate a time dependent calibration function. Normal background radiation, decay rates, and missing values are taken into account during the analysis. Results show that the standard Safecast static transformation function overestimates the official measurements because it fails to capture the presence of two different Cesium isotopes and their changing magnitudes with time. A model is created to predict the ratio of the isotopes from the time of the accident through 2020. The proposed time dependent calibration takes into account this Cesium isotopes ratio, and it is shown to reduce the error between U.S. government and contributed data. The proposed calibration is needed through 2020, after which date the errors introduced by ignoring the presence of different isotopes will become negligible.",190-191,,51,65,Transformation (function); Quadratic equation; Isotope; Calibration; Interpolation; Background radiation; Cesium Isotopes; Environmental science; Remote sensing; Missing data,Citizen science; Data calibration; Fukushima Daiichi; Safecast data; Volunteered geographic information,10.1016/j.jenvrad.2018.04.018,2804611721
074-845-352-838-528,Understanding the Value of VGI,2012-06-29,2012,book chapter,Crowdsourcing Geographic Knowledge,,Springer Netherlands,,Rob Feick; Stéphane Roche,"Growing investments of time, money and other resources in the production of geographic information (GI) in concert with the increasingly widespread use of GI throughout society are often accompanied by statements that reference the economic, cultural and social value of GI. Despite considerable effort over the past decade, our capacity to quantify the value of GI or even understand how value should be conceptualized remains limited. The recent emergence of volunteered geographic information (VGI) has introduced several new facets to the challenge of understanding the value of (V)GI. This chapter examines how VGI use and production are challenging our understanding of how GI and VGI alike are valued. Following a review of the traditional approaches to valuing GI, the chapter explores the distinctive characteristics of VGI use and production that introduce new dimensions to value. More specifically, the chapter proposes several metaphors (serendipitous and unexpected discovery, Debord’s ‘Derives’ metaphor, Lego block theory) that can be used to conceptualize VGI value and the potential to adapt the ‘fitness-for-use’ concept to guide user assessments of VGI value in practice.",,,15,29,Sociology; Spatial analysis; Spatial data infrastructure; Data science; Metaphor; Block theory; Volunteered geographic information,,10.1007/978-94-007-4587-2_2,10709905
074-914-856-155-065,Current Themes in Volunteered Geographic Information,,2018,book chapter,Comprehensive Geographic Information Systems,,Elsevier,,Colin J. Ferster; Trisalyn A. Nelson; Colin Robertson; Rob Feick,,1,,26,41,The Internet; Citizen science; Geography; Data quality; Data science; Computer security; Corporate governance; Social media; Volunteered geographic information; Scientific method; Georeference,,10.1016/b978-0-12-409548-9.09620-2,2609602700
075-206-715-618-23X,Technology and Data Collection in Chronic Disease Epidemiology.,2015-10-29,2015,journal article,Preventing chronic disease,15451151,U.S. Department of Health and Human Services,United States,James B. Holt,"In this issue of Preventing Chronic Disease, Moodley et al (1) present the results of a spatial analysis of the locations of advertisements for sugar-sweetened beverages (SSBs) and vendors who sell SSBs in relation to the location of schools in 5 neighborhoods in South Africa. In their article, “Obesogenic Environments: Access to and Advertising of Sugar-Sweetened Beverages in Soweto, South Africa,” the authors used a global positioning system (GPS) and a digital camera to gather data on the locations of SSB advertisements and vendors. Their innovative and low-cost approach could be replicated in any setting, including the United States, where time-sensitive point-location data on environmental exposure are needed but are unavailable through more traditional data-collection sources. In this sense, their approach to gathering data is situated within the broader technological developments of volunteered geographic information, crowdsourced data, and GPS-enabled mobile technology for public health (2–6).; ; Although the main objective of Moodley et al was to provide a descriptive analysis of the intensity of SSB advertising, their approach to using technology deserves to be highlighted because it may be of great value to public health practitioners. To this end, Preventing Chronic Disease readers may find valuable some additional examples of the use of handheld GPS devices or smartphones for data collection for chronic disease epidemiology. Smartphones are GPS-enabled, and photographs taken with smartphone cameras are encoded with a GPS location. Software applications for smartphones that allow photographs to be exported and their location information to be stored on a convenient database include commercial applications such as Collector for ArcGIS (Esri, http://doc.arcgis.com/en/collector/) and open-source free applications such as Ushahidi (www.ushahidi.com/product/ushahidi/).; ; Many recently published studies illustrate how this technological approach has been used in the field. Braun et al (7) provided a comprehensive review of the use of mobile technology for field data collection among community health workers. Aanensen et al (8) described the development of a system to link smartphones to Web applications for the collection of field data, which can include GPS locations, photographs, videos, and audio. Chunara and colleagues (9) cited examples of mobile technology use for rapid reporting of outbreak information, such as malaria in Cambodia. Patel et al (10) described the development and implementation of a smartphone application to measure the presence of smoking in vehicles, in addition to the presence of adult passengers, child passengers, or both; they also stress the advantages of efficiency and standardization and the ability to transmit data from many remote locations to a centralized website for further analysis. Kanter and colleagues (11) developed, field tested, and evaluated a mobile telephone–based nutrition environment survey in Guatemalan supermarkets, and they noted that the mobile application had equivalent reliability and validity to a paper version of the survey and was also faster to use. King et al (12) reviewed advances in and issues related to using mobile technologies to assess the built environment for the purpose of improving active living and healthy eating. Eyler et al (13), in a presentation of case studies for the assessment of physical activity and the built environment, described the development of an iPad application (named iSOPARC) that enables users to collect and manage data elements for the System for Observing Play and Recreation in Communities (SOPARC), which has been validated and in use since 2004. The goal of the mobile application was to increase the use of SOPARC by making it more accessible to a broader range of end users.; ; Bethlehem et al (14) discussed a different approach to using digital technology to assess neighborhood obesogenic characteristics; instead of collecting data in the field, they remotely analyzed digital photographs from Google Earth and Google Street View. In both cases, they found that assessments were valid and reliable and could be completed in roughly one-half the time as field-based data collection. One drawback of this approach is that not all potential areas of interest have been imaged for Google Earth and Google Street View, particularly areas where cars are prohibited. Furthermore, the date of image collection is not controlled by the health researcher, so a large study may contain data obtained at different times. Nonetheless, this approach is an interesting area for further development and highlights the innovative ways in which digital data are being used.; ; Mobile technology is changing rapidly, and so are the innovative applications for using it. Curtis et al (15) collected street-level spatial video data in a Haitian community through the analysis of 4 automobile-mounted digital video cameras. The spatial video was viewed in Google Earth, and environmental attributes of interest (eg, standing water, trash, structural integrity of homes) were manually coded; the resulting data were exported to ArcGIS (Esri) for further spatial analysis. As a sign of applications to come, Igoe et al (16) discussed the feasibility of using smartphones for real-time measurement of ultraviolet A (UVA) radiation and aerosol optical depth, both of which are measures of the physical environment that can affect health. It is not too great a stretch to imagine the near future when our smartphones or wearable technology may be able to measure UVA radiation and provide real-time recommendations for limiting sun exposure.; ; Moodley et al provide a case study of how a group of researchers with a defined research question for a well-documented public health concern used readily available low-cost technology to create a unique spatial database of environmental exposures. This approach has relevance to many different geographic settings and exposures, including data that may be available from commercial vendors but prohibitively expensive (eg, business and marketing data), as well as exposures that are more ephemeral, such as advertising billboards, where existing data sets may not be current for the period studied. Their data collection methods can be adopted by researchers and communities interested in various chronic disease–related exposures or assets (either harmful or protective), such as alcohol and tobacco advertising, fast-food outlets, and farmers markets. Public health practitioners could either adopt their approach of using a handheld GPS in combination with a digital camera or use similar approaches that are available through ready-made commercial or open-source smartphone applications, as this brief sampling of literature suggests.",12,,E187,,Data collection; Built environment; Mobile device; Assisted GPS; Data science; Environmental exposure; Volunteered geographic information; Mobile technology; Medicine; End user,,10.5888/pcd12.150400,1852889913
075-351-411-301-824,"CROWDSOURCING-BASED GEOINFORMATION, DISADVANTAGED URBANISATION CHALLENGES, SUBSAHARAN AFRICA: THEORETICAL PERSPECTIVES AND NOTES",2017-03-01,2017,journal article,Quaestiones Geographicae,20816383; 0137477x,Walter de Gruyter GmbH,Poland,Richard Ingwe,"<jats:title>Abstract</jats:title><jats:p> Scholars and practitioners concerned with geoinformation, cyber-cartography, development studies, and other subjects increasingly explore crowdsourcing and its huge advantages for development. Some have advocated it for adoption/promotion by government as a means of citizen engagement. The objective of this article is to increase the appreciation of the contribution that crowdsourcing can make towards resolving challenges associated with disadvantaged urbanisation in sub-Saharan Africa (SSA). We review urban challenges of SSA and three practices of crowdsourcing: volunteered geographic information (VGI), Citizen Science (CS), and Participatory Mapping (PM). Then we examine problems associated with the advocacy for government adoption of those practices in SSA. We argue that civil society collaboration with an international governmental organisation (IGO) instead of government promises a better way of adopting and promoting them. This suggestion is based on the fact that work related to this strategy is carried out by a global coalition of civil society, the UN-NGLS. This strategy promises a more rapid way of taking advantage of fast-tracking public engagement in the economic region, SSA.</jats:p>",36,1,5,14,Government; Development studies; Public engagement; Geography; Disadvantaged; Work related; Public relations; Civil society; Volunteered geographic information; Crowdsourcing,,10.1515/quageo-2017-0001,2596381739
075-395-325-415-838,An Approach to Control the Positional Accuracy of Point Features in Volunteered Geographic Information Systems,,2019,journal article,International Journal of Advanced Computer Science and Applications,2158107x; 21565570,The Science and Information Organization,,Mennatallah H. Ibrahim; Nagy Ramadan; A Hesham,,10,6,,,Data science; Computer science; Volunteered geographic information,,10.14569/ijacsa.2019.0100624,2955098766
075-455-972-403-43X,Methods for visualizing the explosive remnants of war,,2013,journal article,Applied Geography,01436228,Elsevier BV,Netherlands,Pierre Marcel Anselme Lacroix; Jonas Herzog; Daniel Eriksson; Robert Weibel,"This study aimed to answer the question how GIS can help decision makers visualize the problem of contamination by explosive remnants of war (ERW). We thus explored a set of six cartographic visualization methods and systematically evaluated their usefulness with respect to four categories of stakeholders in the humanitarian demining process (i.e., database administrators, operations officers, directors of national mine action authorities, and donors) at four geographical scales, ranging from municipal to global. The main application of our work is for stakeholders involved in humanitarian demining. We provide them with a comprehensive framework for visualizing ERW hazards at the geographical scale at which they have to make decisions, as well as customized cartographic visualization tools and recommendations to help them make informed decisions. For example, we provide potential donors with a method for obtaining a global overview of ERW contamination while remaining aware of regional variation and hot spots. We also enhance cartographic visualization capabilities using traditional kernel density estimation by customizing key parameters. Specifically, we propose a method for adjusting kernel bandwidth for datasets with highly heterogeneous spatial distributions and a method for generating kernel surfaces from polygon data that consists of infilling the polygons with points before using them as inputs in the kernel density estimation",41,,179,194,Data mining; Polygon; Geography; Data science; Data sharing; Mine action; Kernel Bandwidth; Visualization; Database administrator; Kernel density estimation; Kernel (linear algebra),,10.1016/j.apgeog.2013.04.007,2042139695
075-580-595-539-974,Method of Cultural Landscape Evolution Research Based on Volunteered Geographic Information——Taking Shaoxing for Example,,2013,journal article,Journal of Chongqing University of Technology,,,,Zhang Ren-ju,"Based on volunteered geographic information( VGI),the changes of the traditional territory cultural landscape of Shaoxing are analyzed. The VGI data mainly includes high resolution satellite images of Google earth,the online pictures tagged locations,the micro blog tagged location,and 3D urban map are used to appraise the tradition of cultural landscape. The characteristics and its changes of the traditional Territory Cultural Landscape of Shaoxing in different time( 2002 and 2011) are analyzed. This study shows that the area of the traditional culture landscape of Shaoxing is decreasing and the landscape fragmentation is increasing.",,,,,Cultural landscape; Microblogging; Landscape archaeology; Geography; High resolution; Research based; Social media; Volunteered geographic information; Cartography,,,2367747822
075-609-191-146-804,Techniques for Updating Pedestrian Network Data Including Facilities and Obstructions Information for Transportation of Vulnerable People.,2015-09-23,2015,journal article,"Sensors (Basel, Switzerland)",14248220; 14243210,Multidisciplinary Digital Publishing Institute (MDPI),Switzerland,Seula Park; Yoonsik Bang; Kiyun Yu,"Demand for a Pedestrian Navigation Service (PNS) is on the rise. To provide a PNS for the transportation of vulnerable people, more detailed information of pedestrian facilities and obstructions should be included in Pedestrian Network Data (PND) used for PNS. Such data can be constructed efficiently by collecting GPS trajectories and integrating them with the existing PND. However, these two kinds of data have geometric differences and topological inconsistencies that need to be addressed. In this paper, we provide a methodology for integrating pedestrian facilities and obstructions information with an existing PND. At first we extracted the significant points from user-collected GPS trajectory by identifying the geometric difference index and attributes of each point. Then the extracted points were used to make an initial solution of the matching between the trajectory and the PND. Two geometrical algorithms were proposed and applied to reduce two kinds of errors in the matching: on dual lines and on intersections. Using the final solution for the matching, we reconstructed the node/link structure of PND including the facilities and obstructions information. Finally, performance was assessed with a test site and 79.2% of the collected data were correctly integrated with the PND.",15,9,24466,24486,Data mining; Trajectory; Geography; Transport engineering; Pedestrian; Network data; Gps trajectory; Poison control; Geographic information system; Volunteered geographic information; Global Positioning System,facilities and obstructions; pedestrian navigation service; pedestrian network data; transportation of vulnerable people; volunteered geographic information,10.3390/s150924466,2112314383
075-836-571-031-160,A Volunteered Geographic Information Framework to Enable Bottom-Up Disaster Management Platforms,2015-08-13,2015,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Mohammad Ebrahim Poorazizi; Andrew Hunter; Stefan Steiniger,"Recent disasters, such as the 2010 Haiti earthquake, have drawn attention to the potential role of citizens as active information producers. By using location-aware devices such as smartphones to collect geographic information in the form of geo-tagged text, photos, or videos, and sharing this information through online social media, such as Twitter, citizens create Volunteered Geographic Information (VGI). To effectively use this information for disaster management, we developed a VGI framework for the discovery of VGI. This framework consists of four components: (i) a VGI brokering module to provide a standard service interface to retrieve VGI from multiple resources based on spatial, temporal, and semantic parameters; (ii) a VGI quality control component, which employs semantic filtering and cross-referencing techniques to evaluate VGI; (iii) a VGI publisher module, which uses a service-based delivery mechanism to disseminate VGI, and (iv) a VGI discovery component to locate, browse, and query metadata about available VGI datasets. In a case study we employed a FOSS (Free and Open Source Software) strategy, open standards/specifications, and free/open data to show the utility of the framework. We demonstrate that the framework can facilitate data discovery for disaster management. The addition of quality metrics and a single aggregated source of relevant crisis VGI will allow users to make informed policy choices that could save lives, meet basic humanitarian needs earlier, and perhaps limit environmental and economic damage",4,3,1389,1422,Dissemination; World Wide Web; Interoperability; Geography; Data discovery; Social media; Volunteered geographic information; Emergency management; Open standard; Metadata,,10.3390/ijgi4031389,2136209984
076-524-959-624-847,Towards Enhancing Integrated Pest Management Based on Volunteered Geographic Information,2017-07-21,2017,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Yingwei Yan; Chen-Chieh Feng; Klarissa Chang,"Integrated pest management (IPM) involves integrating multiple pest control methods based on site information obtained through inspection, monitoring, and reports. IPM has been deployed to achieve the judicious use of pesticides and has become one of the most important methods of securing agricultural productivity. Despite the efforts made to strengthen IPM during the past decades, overuse as well as indiscriminate use of pesticides is still common. This problem is particularly serious in underserved farming communities which suffer from ineffectiveness with respect to pest management information collection and dissemination. The recent development of volunteered geographic information (VGI) offers an opportunity to the general public to create and receive ubiquitous, cost-effective, and timely geospatial information. Therefore, this study proposes to enhance IPM through establishing a VGI-based IPM. As a starting point of this line of research, this study explored how such geospatial information can contribute to IPM enhancement. Based on this, a conceptual framework of VGI interaction was built to guide the establishment of VGI-based IPM. To implement VGI-based IPM, a mobile phone platform was developed. In addition, a case study was conducted in the town of Shuibian in Jiangxi province of China to demonstrate the effectiveness of the proposed approach. In the case study, by analyzing infestation incidents of an overwintering outbreak of striped rice stem borers voluntarily reported by farmers through mobile phones, spatiotemporal infestation patterns of the borers throughout the study area were revealed and disseminated to the farmers. These patterns include the dates and degree-days the pest infestations intensified, and the orientation or spatial structural variations of the clustering of the infestations. This case study showcased the unique merit of VGI in enhancing IPM, namely the acquisition of previously unrecorded spatial data in a cost-effective and real-time manner for discovering and disseminating previously unknown pest management knowledge.",6,7,224,,Dissemination; Agriculture; Integrated pest management; Agricultural productivity; Conceptual framework; Ecology; Geography; Mobile phone; Volunteered geographic information; Environmental planning; Geospatial analysis,,10.3390/ijgi6070224,2738676247
076-658-957-069-265,"Remote sensing, hydrological modeling and in situ observations in snow cover research: A review",,2018,journal article,Journal of Hydrology,00221694,Elsevier BV,Netherlands,Chunyu Dong,"Abstract Snow is an important component of the hydrological cycle. As a major part of the cryosphere, snow cover also represents a valuable terrestrial water resource. In the context of climate change, the dynamics of snow cover play a crucial role in rebalancing the global energy and water budgets. Remote sensing, hydrological modeling and in situ observations are three techniques frequently utilized for snow cover investigations. However, the uncertainties caused by systematic errors, scale gaps, and complicated snow physics, among other factors, limit the usability of these three approaches in snow studies. In this paper, an overview of the advantages, limitations and recent progress of the three methods is presented, and more effective ways to estimate snow cover properties are evaluated. The possibility of improving remotely sensed snow information using ground-based observations is discussed. As a rapidly growing source of volunteered geographic information (VGI), web-based geotagged photos have great potential to provide ground truth data for remotely sensed products and hydrological models and thus contribute to procedures for cloud removal, correction, validation, forcing and assimilation. Finally, this review proposes a synergistic framework for the future of snow cover research. This framework highlights the cross-scale integration of in situ and remotely sensed snow measurements and the assimilation of improved remote sensing data into hydrological models.",561,,573,583,Climate change; Water cycle; Ground truth; Water resources; Snow; Cryosphere; Volunteered geographic information; Remote sensing; Cloud computing,,10.1016/j.jhydrol.2018.04.027,2797297459
076-775-990-091-512,"Online Social Networks, Location, and the Dual Effect of Distance from the Centre",2015-07-01,2015,journal article,Tijdschrift voor economische en sociale geografie,0040747x; 14679663,Wiley,United Kingdom,Balázs Lengyel; Ákos Jakobi,"Online social networks (OSN) are major platforms of ICT-enabled communication, supporting place-independent social life. However, recent findings suggest that the geographical location of users strongly affects network topology. Therefore, OSNs may be simultaneously related to locations and also unlocked from offline geographies. Our paper addresses this dual-faced phenomenon, analysing the location-specific effect on OSN diffusion and OSN usage. Findings on iWiW (International Who Is Who), the leading OSN in Hungary in the 2000s with more than 4 million users, suggest that the rate of users (proxy for OSN diffusion) is positively associated with the geographical proximity of Budapest, the foremost urban centre in the country. On the contrary, the average number of connections (proxy for OSN usage) is independent of the geographical proximity of the capital, and it is even higher in peripheral regions when controlling for other offline factors. © 2015 Royal Dutch Geographical Society KNAG",107,3,298,315,Proxy (climate); Advertising; Network topology; Geography; Spatial regression; Urban centre; Social life; Dual effect; Location; Social network,,10.1111/tesg.12150,1926847920
076-870-717-202-045,Il progetto SISTEMATI – The SISTEMATI project,,2014,journal article,Rendiconti online della Società Geologica Italiana,20358008,Societa Geologica Italiana,Italy,Paolo Arcaini; Gloria Bordogna; Elisabetta Mangioni; Chrysanthi Polyzoni; Simone Sterlacchini,"The SISTEMATI project is developing a distributed information and communication system aimed at distributing and sharing information among people in charge of preparedness and response activities in the field of Spatial Planning and Civil Protection. To this end, the project provides authorities and volunteers with a Spatial Data Infrastructure (SDI) supporting different tools and facilities targeted to: retrieve natural hazard risk maps on the basis of geo-information included in metadata files; it makes use of a Spatial Decision Support System to suggest and control the flow of actions to put in practice during an emergency; and manages Volunteered Geographic Information (VGI) provided by citizens to point out anomalous conditions of the territory. Although, the SDI has been originally conceived and designed to support the management of distinct natural and man-made risks, in the prototypal implementation of the proposal, the management of wild fire risk in a study area approximately covering 3.900 km2 in the central-eastern part of the Sardinia Island (Nuoro province) is the primary issue.",30,,55,61,Environmental resource management; Spatial data infrastructure; Spatial planning; Preparedness; Spatial decision support system; Computer science; Civil defense; Data retrieval; Volunteered geographic information; Metadata,,10.3301/rol.2014.12,2330413608
077-066-408-610-087,Method of Constructing Point Generalization Constraints Based on the Cloud Platform,2018-06-21,2018,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Jiemin Zhou; Jie Shen; Shuai Yang; Yu Zhenguo; Karel Stanek; Radim Štampach,"As an important part of spatial data, the point feature has always been an essential element in web maps and navigation maps. With the development of location-based services and the rapid increase in volunteered geographic information and social media data, the amount of point data is increasing day by day, resulting in inevitable problems of overlay and congestion during visualization. Map generalization provides multiple algorithms that can be used to select, aggregate and make typification of points or point clusters. For the generalization of point data, however, the traditional stand-alone computing environment has difficulty with real-time realization. Currently, the rapid development of cloud computing technology provides a powerful support for improving the efficiency of map generalization. However, compared with the stand-alone environment, the data decomposition and the real-time display of point generalization in the cloud platform imposes higher requirements on the point generalization constraints, which play an important role in point-generalized process control. Based on the computational characteristics of the cloud platform, this paper analyzes the changes in point generalization constraints. In addition, our work proposes the constraints of point generalization based on the cloud platform and its construction method, builds a prototype system based on the Hadoop cloud platform. Our prototype system is tested using typical experimental data. Its efficiency and the quality of its results is examined. The results show that the efficiency and quality of point selection can be significantly improved by controlling the point generalization process with the generalization constraints in the cloud computing environment proposed in this paper. This paper provides a possible way for the realization of map generalization in the cloud computing environment. Its usability with real data and with many users accessing it will be the focus of further research.",7,7,235,,Distributed computing; Overlay; Process control; Spatial analysis; Usability; Cartographic generalization; Visualization; Computer science; Volunteered geographic information; Cloud computing,,10.3390/ijgi7070235,2808988911
077-094-229-175-997,A Review of Volunteered Geographic Information for Disaster Management,2015-05-06,2015,journal article,Geography Compass,17498198,Wiley,United Kingdom,Billy Tusker Haworth; Eleanor Bruce,"The immediacy of locational information requirements and importance of data currency for natural disaster events highlights the value of volunteered geographic information (VGI) in all stages of disaster management, including prevention, preparation, response, and recovery. The practice of private citizens generating online geospatial data presents new opportunities for the creation and dissemination of disaster-related geographic data from a dense network of intelligent observers. VGI technologies enable rapid sharing of diverse geographic information for disaster management at a fraction of the resource costs associated with traditional data collection and dissemination, but they also present new challenges. These include a lack of data quality assurance and issues surrounding data management, liability, security, and the digital divide. There is a growing need for researchers to explore and understand the implications of these data and data practices for disaster management. In this article, we review the current state of knowledge in this emerging field and present recommendations for future research. Significantly, we note further research is warranted in the pre-event phases of disaster management, where VGI may present an opportunity to connect and engage individuals in disaster preparation and strengthen community resilience to potential disaster events. Our investigation of VGI for disaster management provides broader insight into key challenges and impacts of VGI on geospatial data practices and the wider field of geographical science.",9,5,237,250,Natural disaster; Data management; Digital divide; Geography; Data quality; Community resilience; Knowledge management; Volunteered geographic information; Emergency management; Geospatial analysis,,10.1111/gec3.12213,1900961547
077-168-921-821-421,Mining point-of-interest data from social networks for urban land use classification and disaggregation,,2015,journal article,"Computers, Environment and Urban Systems",01989715,Elsevier BV,United Kingdom,Shan Jiang; Ana Alves; Filipe Rodrigues; Joseph Ferreira; Francisco C. Pereira,"Abstract Over the last few years, much online volunteered geographic information (VGI) has emerged and has been increasingly analyzed to understand places and cities, as well as human mobility and activity. However, there are concerns about the quality and usability of such VGI. In this study, we demonstrate a complete process that comprises the collection, unification, classification and validation of a type of VGI—online point-of-interest (POI) data—and develop methods to utilize such POI data to estimate disaggregated land use (i.e., employment size by category) at a very high spatial resolution (census block level) using part of the Boston metropolitan area as an example. With recent advances in activity-based land use, transportation, and environment (LUTE) models, such disaggregated land use data become important to allow LUTE models to analyze and simulate a person’s choices of work location and activity destinations and to understand policy impacts on future cities. These data can also be used as alternatives to explore economic activities at the local level, especially as government-published census-based disaggregated employment data have become less available in the recent decade. Our new approach provides opportunities for cities to estimate land use at high resolution with low cost by utilizing VGI while ensuring its quality with a certain accuracy threshold. The automatic classification of POI can also be utilized for other types of analyses on cities.",53,,36,46,Data mining; Point of interest; Metropolitan area; Usability; Information extraction; Geography; Data science; Destinations; Land use; Volunteered geographic information; Social network,,10.1016/j.compenvurbsys.2014.12.001,2202958134
