Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Publication Supplementary Type,Citation IDs,Languages
106-146-414-874-935,Action and interaction in volunteered geographic information: a workshop review,,2013,journal article,Journal of Location Based Services,17489725; 17489733,Informa UK Limited,United Kingdom,Peter Mooney; Karl Rehrl; Hartwig H. Hochmair,"This paper presents a summary of the Action and Interaction in Volunteered Geographic Information (ACTIVITY) international workshop which was held as a one\ud; day pre-conference workshop to the 16th Annual Association of Geographic Information Laboratories in Europe (AGILE) conference in Leuven, Belgium in May 2013.\ud; This paper summarizes the important outcomes of workshop presentations and key\ud; discussion statements from participant contributions to an open-floor discussion on\ud; the most pertinent issues in VGI research. Participants engaged this discussion focused on what are the most likely problems which could form the basis for a research\ud; agenda in VGI composed of both short- and long-term research objectives. Whilst the\ud; development of a VGI research agenda will require the involvement of the broadest\ud; possible spectrum of disciplines this paper is, none-the-less, an important first step on\ud; this journey",7,4,291,311,Research objectives; Public relations; Computer science; Operations research; Volunteered geographic information; Correlation and dependence,,,,,https://www.tandfonline.com/doi/pdf/10.1080/17489725.2013.859310 http://www.cs.nuim.ie/~pmooney/websitePapers/mooney_rehrl_hochmair_jlbs.pdf https://www.tandfonline.com/doi/abs/10.1080/17489725.2013.859310 https://dblp.uni-trier.de/db/journals/jlbs/jlbs7.html#MooneyRH13,http://dx.doi.org/10.1080/17489725.2013.859310,10.1080/17489725.2013.859310,1977010930,,0,001-508-664-400-271; 002-078-585-968-415; 004-445-599-749-605; 005-259-288-940-688; 006-020-317-080-640; 007-718-365-545-28X; 008-714-358-699-609; 013-672-790-242-577; 014-723-043-296-452; 019-029-287-138-022; 022-473-450-579-960; 022-807-913-135-942; 022-816-728-271-154; 023-036-742-444-209; 023-351-967-000-166; 028-739-825-417-25X; 032-440-314-340-754; 033-060-042-560-682; 038-473-615-096-985; 038-976-596-179-447; 046-509-496-371-690; 050-220-949-612-950; 054-024-128-537-380; 057-545-918-303-995; 074-845-352-838-528; 075-869-838-337-064; 077-317-093-070-269; 085-337-333-951-11X; 086-329-388-138-19X; 087-450-915-611-331; 089-782-469-573-067; 091-143-618-066-204; 097-612-174-011-049; 098-565-405-790-308; 100-866-038-545-202; 104-812-113-341-544; 112-637-923-610-974; 113-064-683-092-928; 113-196-669-764-390; 113-663-971-294-22X; 117-710-501-423-474; 127-491-841-235-58X; 129-909-646-150-845; 133-439-587-267-381; 146-694-868-091-343; 147-826-896-424-422; 147-876-713-700-216; 151-539-451-218-08X; 168-321-638-734-354; 169-004-007-623-620; 195-019-623-135-107,8,,(coreid) 32598196; (magid) 1977010930; (doi) 10.1080/17489725.2013.859310,en
106-305-020-563-419,Caveat Emptor: A new form of participatory mapping and its ethical implications for Participatory GIS,2019-07-10,2019,journal article,Proceedings of the ICA,25702092,Copernicus GmbH,,Koshiro Suzuki,"Abstract. Since the 1990s, the consolidation of technological platforms for geographic information has expanded the possibilities of geospatial analysis in conjunction with GIS. Even ordinary people have become capable of interactive web communication with electronic maps thanks to the emergence of smartphones compatible with GeoAPI (application programming interface) and Wi-Fi access. Many studies have described the progress that built a solid foundation of web democracy by embodying people-powered mapping circumstances in the so-called Web 2.0. However, we have yet to acquire geographic information ethics that sufficiently respond to new threats stemming from these circumstances. In the present paper, the author instantiated a user-generated online mapping website named Caveat Emptor (a.k.a. Oshimaland) to investigate the necessity of a geographic information ethics 2.0. By incorporating Suler’s (2004) concept of online disinhibition effects, the author clarified that people can utilise new technologies both in good ways and bad, from behind the safety of a mask. Despite the omnoptic mutual surveillance environment, the associated participants in actual scenes of cyberspace are not always restrained. This explains why it is necessary to update geographic information ethics to be compatible with Web 2.0 circumstances. Four types of ethical challenges were identified that are concerned with (1) the extent to which volunteered geographic information (VGI) should be recruited in constructing collective knowledge, (2) how to build a renewed geographic information ethics in general, (3) how to construct a gradation in geographic information ethics in practice, and (4) what scientific knowledge should be referred to in the contiguous areas of specialisation.",2,,1,8,Caveat emptor; Emerging technologies; Data science; Cyberspace; Participatory GIS; Computer science; Volunteered geographic information; Collective intelligence; Information ethics; Geospatial analysis,,,,,https://www.proc-int-cartogr-assoc.net/2/126/2019/ica-proc-2-126-2019.pdf https://noa.gwlb.de/receive/cop_mods_00001413 https://www.proc-int-cartogr-assoc.net/2/126/2019/,http://dx.doi.org/10.5194/ica-proc-2-126-2019,10.5194/ica-proc-2-126-2019,2961525572,,0,,3,,(doi) 10.5194/ica-proc-2-126-2019; (magid) 2961525572,en
106-497-389-530-392,Technology Trends for Spatial Data Infrastructure in Africa,,2018,journal article,Civil Engineering and Architecture,23321091; 23321121,"Horizon Research Publishing Co., Ltd.",,Collins Mwange; GC Mulaku; David N. Siriba,"Over the past few years, several technology trends, notably big data analytics, volunteered geographic information, cloud computing, free and open source software, internet of things, and linked data, have emerged. This study reviews the contribution of some of these trends to Spatial Data Infrastructure (SDI) development, particularly in Africa. A geospatial application based on Google Container Engine, an Infrastructure as a Service cloud, has been developed. Data was sourced from the 2015 Kenya Certificate of Primary Education, the Kenya school mapping project of 2007 from the Ministry of Education, Science and Technology, and Kenya's administrative boundary layers from the Independent and Electoral Boundaries Commission. By using the cloud, several operations and analyses typically common in SDIs were carried out. In addition, a cost estimate of a cloud-based Kenya National Spatial Data Infrastructure deployment is presented. Although the new technologies may not necessarily lead to wider SDI adoption, the study shows that the trends can increase the chances of SDI development and adoption, by permitting highly scalable geoservices, and facilitating cost-effective free and open source software.",6,4,189,204,Software deployment; Business; Spatial data infrastructure; Emerging technologies; Data science; Volunteered geographic information; Linked data; Big data; Cloud computing; Geospatial analysis,,,,,http://www.hrpub.org/journals/article_info.php?aid=7218,http://dx.doi.org/10.13189/cea.2018.060402,10.13189/cea.2018.060402,2889552000,,0,014-069-404-871-720; 015-986-872-059-068; 038-380-938-144-416; 043-523-938-447-077; 072-595-001-841-272; 082-291-165-855-187; 082-366-214-673-579; 092-320-597-259-20X; 094-792-785-337-138; 096-213-725-575-04X; 099-038-700-302-292; 196-262-193-426-823,1,,(magid) 2889552000; (doi) 10.13189/cea.2018.060402,en
106-553-643-910-387,Exploring the potentials of volunteered geographic Information as a source for spatial data acquisition,2014-06-23,2014,journal article,IOP Conference Series: Earth and Environmental Science,17551315,IOP Publishing,,Izyana Ariffin; Badariah Solemon; Rina Md Anwar; Marina Md Din; Nor Nashrah Azmi,"The advancement of technologies nowadays enables participation by nonprofessionals, known as volunteers to participate in producing, sharing and consuming geographic information. Such information, termed as volunteered geographic Information (VGI) has created a new approach of gathering geographic information. This paper discusses the traditional way of acquiring geographic information and potentials of VGI as an information source in GIS applications. We also review four commonly cited applications which rely on volunteers for their geographic information based on five criteria; the geometry type available in the applications, availability of user profile, average number of attributes used in the applications, data type of the information (raster or vector) and the domain the application belongs to. This review serves as a preliminarv study in designing a GIS application used for asset management which aims at exploiting volunteers to produce geographic information related to assets.",20,1,012041,,GIS and public health; Geoportal; Geography; Information retrieval; Geographic information system; GIS applications; Volunteered geographic information; Enterprise GIS; Geospatial analysis; Local information systems,,,,,https://iopscience.iop.org/article/10.1088/1755-1315/20/1/012041/meta https://ui.adsabs.harvard.edu/abs/2014E&ES...20a2041A/abstract https://iopscience.iop.org/article/10.1088/1755-1315/20/1/012041/pdf,http://dx.doi.org/10.1088/1755-1315/20/1/012041,10.1088/1755-1315/20/1/012041,1997374377,,0,004-810-858-088-737; 006-098-988-743-994; 013-803-494-618-557; 013-805-229-673-933; 014-425-368-123-634; 029-566-633-594-407; 032-903-495-847-439; 036-917-956-752-348; 047-100-212-874-054; 057-545-918-303-995; 099-988-150-776-029; 104-878-684-795-082; 124-043-027-110-303; 143-957-295-030-748; 147-876-713-700-216; 169-004-007-623-620; 176-907-878-738-918; 198-122-408-150-421,5,,(magid) 1997374377; (doi) 10.1088/1755-1315/20/1/012041,en
106-996-203-115-278,"Analyzing OpenStreetMap Road Data and Characterizing the Behavior of Contributors in Ankara, Turkey",2018-10-06,2018,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Müslüm Hacar; Batuhan Kılıç; Kadir Şahbaz,"<jats:p>The usage of OpenStreetMap (OSM), one of the resources offered by Volunteered Geographic Information (VGI), has rapidly increased since it was first established in 2004. In line with this increased usage, a number of studies have been conducted to analyze the accuracy and quality of OSM data, but many of them have constraints on evaluating the profiles of contributors. In this paper, OSM road data have been analyzed with the aim of characterizing the behavior of OSM contributors. The study area, Ankara, the capital city of Turkey, was evaluated with several network analysis methods, such as completeness, degree of centrality, betweenness, closeness, PageRank, and a proposed method measuring the activation of contributors in a bounded area from 2007–2017. An evaluation of the results was also discussed in this paper by taking into account the following indicators for each year: number of nodes, ways, contributors, mean lengths, and sinuosity values of roads. The results show that the experience levels of the contributors determine the contribution type. Essentially, more experience makes for more detailed contributions.</jats:p>",7,10,400,,Betweenness centrality; Geography; Transport engineering; PageRank; Closeness; Sinuosity; Network analysis; Bounded function; Centrality; Volunteered geographic information,,,,,https://www.mdpi.com/2220-9964/7/10/400/pdf https://dblp.uni-trier.de/db/journals/ijgi/ijgi7.html#HacarKS18 http://ui.adsabs.harvard.edu/abs/2018IJGI....7..400H/abstract http://doi.org/10.3390/ijgi7100400 https://doi.org/10.3390/ijgi7100400 https://www.mdpi.com/2220-9964/7/10/400/htm,http://dx.doi.org/10.3390/ijgi7100400,10.3390/ijgi7100400,2895554216,,0,001-239-634-558-067; 006-983-528-886-339; 008-714-358-699-609; 013-438-045-369-177; 014-089-333-504-373; 015-586-822-938-491; 016-239-886-296-053; 020-132-620-861-048; 022-473-450-579-960; 024-740-917-570-107; 025-173-679-095-651; 026-906-070-098-037; 033-639-954-775-558; 038-976-596-179-447; 044-458-252-542-430; 046-791-590-057-851; 057-545-918-303-995; 080-711-536-952-88X; 081-828-710-631-05X; 082-680-870-743-518; 082-778-426-516-752; 088-339-711-439-200; 091-933-334-017-255; 092-876-302-089-914; 101-043-745-380-215; 114-387-801-840-927; 116-734-520-843-220; 124-043-027-110-303; 129-909-646-150-845; 190-216-777-739-959,5,,(magid) 2895554216; (doi) 10.3390/ijgi7100400,en
107-360-547-522-54X,EXPLOITING VOLUNTEERED GEOGRAPHIC INFORMATION TO EASE LAND USE MAPPING OF AN URBAN LANDSCAPE,2013-05-06,2013,journal article,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",21949034,Copernicus GmbH,,Jamal Jokar Arsanjani; Marco Helbich; Mohamed Bakillah,"<jats:p>Abstract. Remote sensing techniques have eased land use/cover mapping substantially by observing the earth remotely through diminishing field surveying and in-site data collection. However, field measurement is still required to identify training sites for defining the existing land use classes, which requires visiting the study area. This paper is intended to utilize volunteered geographic information (VGI) contributions to the OpenStreetMap (OSM) project as an alternative data source instead of gathering training sites through insite visits and to evaluate how accurate land use patterns can be mapped. High resolution imagery of RapidEye with 5 meter spatial resolution is selected to derive land use patterns of Koblenz, Germany through a maximum likelihood classification technique. The achieved land use map is compared with the Global Monitoring for Environment and Security Urban Atlas (GMESUA) and a Kappa Index of 89% is achieved. The outcomes prove that VGI can be integrated within remote sensing processes to facilitate the process of earth observation and monitoring.;                     </jats:p>",XL-4/W1,1,51,55,Data collection; Geography; Data source; Land use mapping; Urban landscape; High resolution; Earth observation; Land use; Volunteered geographic information; Cartography,,,,,https://noa.gwlb.de/receive/cop_mods_00022775 http://ui.adsabs.harvard.edu/abs/2013ISPAr.XL4a..51J/abstract http://www.uni-heidelberg.de/md/chemgeo/geog/lehrstuehle/gis/jokar_land_use_mapping.pdf http://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XL-4-W1/51/2013/isprsarchives-XL-4-W1-51-2013.pdf http://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XL-4-W1/51/2013/ https://www.geog.uni-heidelberg.de/md/chemgeo/geog/lehrstuehle/gis/jokar_land_use_mapping.pdf https://doaj.org/article/bbc6b8d762f34bc088c0dc761b7472a0,http://dx.doi.org/10.5194/isprsarchives-xl-4-w1-51-2013,10.5194/isprsarchives-xl-4-w1-51-2013,2033822369,,0,008-714-358-699-609; 011-247-309-044-225; 028-739-825-417-25X; 040-308-597-328-326; 057-545-918-303-995; 075-401-942-286-419; 085-639-703-897-047; 133-439-587-267-381; 142-299-995-042-864; 143-129-439-621-528; 152-746-352-995-244,15,,(doi) 10.5194/isprsarchives-xl-4-w1-51-2013; (coreid) 91744100; (magid) 2033822369,en
109-227-276-752-73X,Volunteered Geographic Information System Design: Project and Participation Guidelines,2016-07-05,2016,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,José-Pablo Gómez-Barrón; Miguel-Ángel Manso-Callejo; Ramón Alcarria; Teresa Iturrioz,"This article sets forth the early phases of a methodological proposal for designing and developing Volunteered Geographic Information (VGI) initiatives based on a system perspective analysis in which the components depend and interact dynamically among each other. First, it focuses on those characteristics of VGI projects that present different goals and modes of organization, while using a crowdsourcing strategy to manage participants and contributions. Next, a tool is developed in order to design the central crowdsourced processing unit that is best suited for a specific project definition, associating it with a trend towards crowd-based or community-driven approaches. The design is structured around the characterization of different ways of participating, and the task cognitive demand of working on geo-information management, spatial problem solving and ideation, or knowledge acquisition. Then, the crowdsourcing process design helps to identify what kind of participants are needed and outline subsequent engagement strategies. This is based on an analysis of differences among volunteers? participatory behaviors and the associated set of factors motivating them to contribute, whether on a crowd or community-sourced basis. From a VGI system perspective, this paper presents a set of guidelines and methodological steps in order to align project goals, processes and volunteers and thus successfully attract participation. This methodology helps establish the initial requirements for a VGI system, and, in its current state, it mainly focuses on two components of the system: project and participants",5,7,108,,Citizen journalism; Geography; Knowledge acquisition; Public participation; Systems design; Process design; Knowledge management; Volunteered geographic information; Project charter; Crowdsourcing,,,,,https://doi.org/10.3390/ijgi5070108 https://www.mdpi.com/2220-9964/5/7/108/pdf https://dblp.uni-trier.de/db/journals/ijgi/ijgi5.html#BarronMAI16 https://ui.adsabs.harvard.edu/abs/2016IJGI....5..108G/abstract http://www.mdpi.com/2220-9964/5/7/108/htm https://www.mdpi.com/2220-9964/5/7/108 https://core.ac.uk/display/148682892 http://dx.doi.org/10.3390/ijgi5070108 https://core.ac.uk/download/pdf/80739248.pdf,http://dx.doi.org/10.3390/ijgi5070108,10.3390/ijgi5070108,2464407828,,0,004-369-491-003-359; 008-714-358-699-609; 010-124-276-579-39X; 015-054-051-983-034; 017-194-800-561-718; 020-910-316-459-423; 021-041-484-242-674; 032-903-495-847-439; 033-392-697-493-645; 034-152-360-254-749; 034-838-597-348-889; 051-497-687-406-29X; 054-747-098-318-257; 057-357-333-577-597; 057-545-918-303-995; 060-254-937-481-840; 066-101-498-522-68X; 066-336-138-162-728; 071-384-018-761-15X; 071-744-914-349-258; 079-413-893-273-040; 091-129-566-033-628; 091-204-512-390-272; 100-866-038-545-202; 105-499-586-175-310; 106-264-944-278-433; 111-063-331-688-413; 114-295-199-236-584; 118-625-661-087-22X; 122-056-834-901-70X; 127-585-959-745-830; 129-617-889-302-087; 135-360-535-210-851; 136-244-072-501-895; 145-350-454-429-564; 146-617-357-703-804; 156-092-707-165-991; 156-339-146-103-169; 160-200-047-855-70X; 188-678-650-340-531; 195-019-623-135-107; 196-288-317-318-177,15,,(doi) 10.3390/ijgi5070108; (coreid) 80739248; (magid) 2464407828,en
109-240-278-357-254,KnoWare: A System for Citizen-based Environmental Monitoring,,2016,journal article,Informing Science: The International Journal of an Emerging Transdiscipline,15479684; 15214672,Informing Science Institute,United States,Jeremy J Storer; Joseph T. Chao; Andrew T. Torelli; Alexis D. Ostrowski,"Abstract Non-expert scientists are frequently involved in research requiring data acquisition over large geographic areas. Despite mutual benefits for such ""citizen science"", barriers also exist, including 1) difficulty maintaining user engagement with timely feedback, and 2) the challenge of providing non-experts with the means to generate reliable data. We have developed a system that addresses these barriers. Our technologies, KnoWare and InSpector, allow users to: collect reliable scientific measurements, map geo-tagged data, and intuitively visualize the results in real-time. KnoWare comprises a web portal and an iOS app with two core functions. First, users can generate scientific 'queries' that entail a call for information posed to a crowd with customized options for participant responses and viewing data. Second, users can respond to queries with their GPS-enabled mobile device, which results in their geo- and time-stamped responses populating a web-accessible map in real time. KnoWare can also interface with additional applications to diversify the types of data that can be reported. We demonstrate this capability with a second iOS app called InSpector that performs quantitative water quality measurements. When used in combination, these technologies create a workflow to facilitate the collection, sharing and interpretation of scientific data by non-expert scientists. Keywords: Citizen Science, Cell-phone Spectrometer, Water Contaminant Analysis, Web and Mobile Development, Visualization Introduction The prevalence of smartphones represents an opportunity to gather, create, and consume data from individuals on a scale that has not previously been available. Even the 'average' mobile devices in widespread use have significant computing power and are typically GPS-enabled. Scientific research that requires widespread sampling over geographic areas can benefit greatly by mobilizing members of the population equipped with these devices to conduct scientifically useful measurements or activities. Data generated in this way can complement existing data collection methods. One key advantage of these 'citizen science' initiatives is that sourcing large groups of individuals is an efficient strategy to collect large-scale data sets because contributors typically volunteer their time in exchange for meaningful participation. However, in spite of the benefits, multiple barriers work against increased prevalence of citizen science initiatives, including 1) the difficulty maintaining prolonged user engagement with meaningful feedback, and 2) the challenge of providing non-experts with the means to collect reliable data. We have developed technologies to directly address these barriers by providing 'citizen scientists' with 1) an easy-to-use mechanism to participate in scientific investigations with real time visual feedback, and 2) software and a device that interface with iPhones to collect reliable scientific measurements from color-based test kits in widespread use. Our technologies currently focus on allowing users to record water quality measurements since such data collection requires large, repeated measurement, and there are many existing citizen science initiatives already focused on water quality that may benefit. Our technology platform, called KnoWare, comprises a paired web portal and iOS application for data visualization and mapping. In this report, we use KnoWare in combination with an additional iOS application we created (InSpector) to process images taken with the iPhone camera using an add-on device. The InSpector app allows users to obtain reliable readings of colorimetric water quality tests that currently depend on subjective color-comparisons. These technologies work together to provide an engaging workflow for the collection and interpretation of environmental water quality data by non-professional, citizen scientists. Literature Review The technologies we have developed facilitate citizen science based data collection efforts with the following motivations: increasing exposure and 'literacy' in STEM areas, the potential impact of involving the broader public in scientific efforts to advance research, and opportunities to engage students at our own institution in the development of software and devices with 'real-world' applications. …",19,,125,139,Data collection; World Wide Web; Data visualization; Workflow; Mobile device; Citizen science; Data quality; Population; Visualization; Computer science,,,,,https://www.questia.com/library/journal/1G1-485809220/knoware-a-system-for-citizen-based-environmental https://core.ac.uk/display/43993884 https://www.informingscience.org/Publications/3500,http://dx.doi.org/10.28945/3500,10.28945/3500,2607142488,,0,,3,,(magid) 2607142488; (doi) 10.28945/3500,en
110-251-340-930-736,Observing System Simulation Experiments for the assessment of temperature sampling strategies in the Mediterranean Sea,2003-01-31,2003,journal article,Annales Geophysicae,14320576; 09927689,Copernicus GmbH,Germany,Fabio Raicich; A. Rampazzo,"<jats:p>Abstract. For the first time in the Mediterranean Sea various temperature sampling strategies are studied and compared to each other by means of the Observing System Simulation Experiment technique. Their usefulness in the framework of the Mediterranean Forecasting System (MFS) is assessed by quantifying their impact in a Mediterranean General Circulation Model in numerical twin experiments via univariate data assimilation of temperature profiles in summer and winter conditions. Data assimilation is performed by means of the optimal interpolation algorithm implemented in the SOFA (System for Ocean Forecasting and Analysis) code. The sampling strategies studied here include various combinations of eXpendable BathyThermograph (XBT) profiles collected along Volunteer Observing Ship (VOS) tracks, Airborne XBTs (AXBTs) and sea surface temperatures. The actual sampling strategy adopted in the MFS Pilot Project during the Targeted Operational Period (TOP, winter-spring 2000) is also studied. The data impact is quantified by the error reduction relative to the free run. The most effective sampling strategies determine 25–40% error reduction, depending on the season, the geographic area and the depth range. A qualitative relationship can be recognized in terms of the spread of information from the data positions, between basin circulation features and spatial patterns of the error reduction fields, as a function of different spatial and seasonal characteristics of the dynamics. The largest error reductions are observed when samplings are characterized by extensive spatial coverages, as in the cases of AXBTs and the combination of XBTs and surface temperatures. The sampling strategy adopted during the TOP is characterized by little impact, as a consequence of a sampling frequency that is too low. Key words. Oceanography: general (marginal and semi-enclosed seas; numerical modelling);                     </jats:p>",21,1,151,165,Approximation error; Bathythermograph; Meteorology; Spatial ecology; Interpolation; Data assimilation; Mediterranean sea; Environmental science; Mediterranean climate; Sampling (statistics),,,,,https://angeo.copernicus.org/articles/21/151/2003/ https://www.ann-geophys.net/21/151/2003/angeo-21-151-2003.pdf https://noa.gwlb.de/receive/cop_mods_00035651 https://angeo.copernicus.org/articles/21/151/2003/angeo-21-151-2003.pdf https://ui.adsabs.harvard.edu/abs/2003AnGeo..21..151R/abstract https://core.ac.uk/download/pdf/145809880.pdf,http://dx.doi.org/10.5194/angeo-21-151-2003,10.5194/angeo-21-151-2003,2118971010,,0,002-218-529-222-266; 011-667-357-786-056; 017-705-325-977-571; 021-526-254-217-639; 024-769-143-595-085; 029-379-858-028-023; 041-554-784-839-201; 050-877-953-356-327; 073-727-993-514-335; 075-556-000-539-722; 082-690-975-130-370; 085-143-187-610-548; 100-734-941-187-494; 102-016-182-428-547; 105-613-088-583-772; 132-677-969-463-537; 160-296-354-456-898,12,,(coreid) 145809880; (doi) 10.5194/angeo-21-151-2003; (magid) 2118971010,en
111-347-869-980-752,Toward a participatory VGI methodology: crowdsourcing information on regional food assets,2018-06-05,2018,journal article,International Journal of Geographical Information Science,13658816; 13623087; 13658824,Informa UK Limited,United Kingdom,Victoria Fast; Claus Rinner,"ABSTRACTLocal knowledge has been underrepresented in food-related policies and planning. The goal of this research was to engage members of a local food community and generate volunteered geographic information (VGI) on community food assets. During active data collection, over 200 food assets were reported. This paper details the systematic approach used to create VGI, which emphasizes the socio-cultural context surrounding the mapping technology. The project began with an identified need to connect to and learn from the local food community. The participants were drawn from active food system stakeholders, and a Geoweb infrastructure was selected based on publicly available crowdsourcing tools. The resulting VGI is presented according to system functions: input (Web traffic, contributors, input types), management (contribution vetting, privacy), analysis (typology of input), and presentation (sharing the submitted data). Despite limitations, this study revealed a hyper-local and community-driven perspec...",32,11,2209,2224,Business; Community engagement; Geoweb; Vetting; Web traffic; Public participation GIS; Knowledge management; Volunteered geographic information; Crowdsourcing; Food systems,,,,Social Sciences and Humanities Research Council of Canada,https://doi.org/10.1080/13658816.2018.1480784 https://dblp.uni-trier.de/db/journals/gis/gis32.html#FastR18 https://www.tandfonline.com/doi/full/10.1080/13658816.2018.1480784,http://dx.doi.org/10.1080/13658816.2018.1480784,10.1080/13658816.2018.1480784,2805776699,,0,006-277-108-320-170; 008-189-420-753-328; 008-655-662-451-459; 008-714-358-699-609; 008-976-078-444-281; 010-182-186-559-77X; 014-082-569-254-380; 014-792-040-673-776; 020-214-777-432-603; 020-910-316-459-423; 022-759-306-256-183; 023-351-967-000-166; 024-403-212-152-856; 025-772-507-157-363; 046-399-851-451-608; 050-094-611-215-830; 052-814-489-943-230; 057-545-918-303-995; 062-590-423-086-056; 071-490-604-491-921; 081-137-809-594-372; 088-184-116-527-552; 091-204-512-390-272; 097-111-928-863-139; 097-755-536-008-508; 099-347-058-687-250; 102-160-469-693-977; 103-436-283-672-538; 128-907-006-826-098; 134-426-913-644-001; 138-673-529-421-480; 148-615-143-308-423; 158-263-557-750-410; 162-138-489-297-846; 190-216-777-739-959,5,,(doi) 10.1080/13658816.2018.1480784; (magid) 2805776699,en
111-811-300-036-763,An Analysis of Geospatial Technologies for Risk and Natural Disaster Management,2012-08-07,2012,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Luiz Augusto Manfré; Eliane Hirata; Janaina Bezzerra Silva; Eduardo Jun Shinohara; Mariana Abrantes Giannotti; Ana Paula Camargo Larocca; José Alberto Quintanilha,"This paper discusses the use of spatial data for risk and natural disaster management. The importance of remote-sensing (RS), Geographic Information System (GIS) and Global Navigation Satellite System (GNSS) data is stressed by comparing studies of the use of these technologies for natural disaster management. Spatial data sharing is discussed in the context of the establishment of Spatial Data Infrastructures (SDIs) for natural disasters. Some examples of SDI application in disaster management are analyzed, and the need for participation from organizations and governments to facilitate the exchange of information and to improve preventive and emergency plans is reinforced. Additionally, the potential involvement of citizens in the risk and disaster management process by providing voluntary data collected from volunteered geographic information (VGI) applications is explored. A model relating all of the spatial data-sharing aspects discussed in the article was suggested to elucidate the importance of the issues raised.",1,2,166,185,Data mining; GNSS applications; Spatial analysis; Natural disaster; Geography; Exchange of information; Geographic information system; Volunteered geographic information; Emergency management; Environmental planning; Geospatial analysis,,,,,https://dblp.uni-trier.de/db/journals/ijgi/ijgi1.html#ManfreHSSGLQ12 http://www.mdpi.com/2220-9964/1/2/166 https://doi.org/10.3390/ijgi1020166 https://www.mdpi.com/2220-9964/1/2/166 https://www.mdpi.com/2220-9964/1/2/166/pdf https://ui.adsabs.harvard.edu/abs/2012IJGI....1..166M/abstract,http://dx.doi.org/10.3390/ijgi1020166,10.3390/ijgi1020166,2055947907,,0,004-810-858-088-737; 008-068-962-643-536; 008-069-145-545-789; 008-655-662-451-459; 010-631-799-752-207; 010-996-825-832-932; 013-803-494-618-557; 015-079-912-703-024; 017-121-343-220-813; 017-194-800-561-718; 022-659-507-710-890; 023-273-935-138-557; 024-016-891-946-622; 024-582-355-289-776; 024-908-127-778-807; 025-188-201-727-500; 025-849-472-687-753; 030-800-470-784-537; 032-153-326-718-011; 032-903-495-847-439; 035-565-316-416-60X; 037-291-151-518-735; 038-109-946-328-639; 041-214-006-307-224; 042-085-945-315-992; 042-146-836-009-554; 047-460-683-570-646; 047-716-734-278-212; 047-782-208-746-077; 049-748-807-576-405; 050-569-650-247-057; 051-153-532-021-345; 051-569-988-068-394; 057-545-918-303-995; 059-700-523-830-360; 061-405-716-256-30X; 066-426-691-472-974; 069-204-486-700-267; 070-425-351-905-921; 071-263-461-049-465; 072-243-912-426-29X; 077-085-252-804-072; 082-366-214-673-579; 084-210-734-414-337; 087-452-688-505-959; 088-981-467-900-226; 098-044-674-240-466; 098-430-348-176-409; 098-675-309-024-336; 100-242-629-305-125; 102-385-252-707-909; 105-092-957-191-367; 105-897-717-864-401; 105-963-545-082-851; 107-638-610-309-690; 108-015-995-483-272; 109-161-796-964-85X; 111-163-933-663-414; 113-870-528-406-022; 119-481-488-328-857; 120-374-984-829-740; 125-142-966-131-495; 125-690-009-441-915; 158-590-979-804-317; 161-366-235-665-301; 169-234-577-859-989; 174-147-913-589-603; 185-514-927-204-664; 187-568-354-817-995; 197-184-306-904-007,48,,(doi) 10.3390/ijgi1020166; (coreid) 28639591; (magid) 2055947907,en
